decision_timestamp,top3_overlap,forecast_names_changed,persistence_names_changed
2024-11-22 23:59:59.999999999+00:00,3,1.0,2.0
2024-11-29 23:59:59.999999999+00:00,3,0.0,0.0
2024-12-06 23:59:59.999999999+00:00,3,1.0,1.0
2024-12-13 23:59:59.999999999+00:00,3,0.0,0.0
2024-12-20 23:59:59.999999999+00:00,3,0.0,0.0
2024-12-27 23:59:59.999999999+00:00,3,0.0,0.0
2025-01-03 23:59:59.999999999+00:00,2,1.0,0.0
2025-01-10 23:59:59.999999999+00:00,1,2.0,2.0
2025-01-17 23:59:59.999999999+00:00,0,1.0,1.0
2025-01-24 23:59:59.999999999+00:00,1,2.0,3.0
2025-01-31 23:59:59.999999999+00:00,3,1.0,2.0
2025-02-07 23:59:59.999999999+00:00,2,2.0,1.0
2025-02-14 23:59:59.999999999+00:00,2,1.0,1.0
2025-02-21 23:59:59.999999999+00:00,2,1.0,1.0
2025-02-28 23:59:59.999999999+00:00,3,1.0,1.0
2025-03-07 23:59:59.999999999+00:00,3,1.0,1.0
2025-03-14 23:59:59.999999999+00:00,3,0.0,0.0
2025-03-21 23:59:59.999999999+00:00,2,1.0,1.0
2025-03-28 23:59:59.999999999+00:00,3,0.0,1.0
2025-04-04 23:59:59.999999999+00:00,2,1.0,0.0
2025-04-11 23:59:59.999999999+00:00,2,1.0,1.0
2025-04-18 23:59:59.999999999+00:00,2,0.0,0.0
2025-04-25 23:59:59.999999999+00:00,2,1.0,0.0
2025-05-02 23:59:59.999999999+00:00,1,2.0,1.0
2025-05-09 23:59:59.999999999+00:00,2,1.0,2.0
2025-05-16 23:59:59.999999999+00:00,3,1.0,1.0
2025-05-23 23:59:59.999999999+00:00,3,0.0,0.0
2025-05-30 23:59:59.999999999+00:00,3,0.0,0.0
2025-06-06 23:59:59.999999999+00:00,3,0.0,0.0
2025-06-13 23:59:59.999999999+00:00,3,0.0,0.0
2025-06-20 23:59:59.999999999+00:00,2,1.0,1.0
2025-06-27 23:59:59.999999999+00:00,3,0.0,1.0
2025-07-04 23:59:59.999999999+00:00,2,1.0,0.0
2025-07-11 23:59:59.999999999+00:00,3,0.0,1.0
2025-07-18 23:59:59.999999999+00:00,1,2.0,0.0
2025-07-25 23:59:59.999999999+00:00,2,1.0,2.0
2025-08-01 23:59:59.999999999+00:00,3,0.0,1.0
2025-08-08 23:59:59.999999999+00:00,1,2.0,0.0
2025-08-15 23:59:59.999999999+00:00,2,2.0,1.0
2025-08-22 23:59:59.999999999+00:00,2,1.0,1.0
2025-08-29 23:59:59.999999999+00:00,2,1.0,1.0
2025-09-05 23:59:59.999999999+00:00,1,2.0,1.0
2025-09-12 23:59:59.999999999+00:00,3,0.0,2.0
2025-09-19 23:59:59.999999999+00:00,3,0.0,0.0
2025-09-26 23:59:59.999999999+00:00,3,1.0,1.0
2025-10-03 23:59:59.999999999+00:00,3,1.0,1.0
2025-10-10 23:59:59.999999999+00:00,3,0.0,0.0
2025-10-17 23:59:59.999999999+00:00,1,2.0,1.0
2025-10-24 23:59:59.999999999+00:00,2,2.0,2.0
2025-10-31 23:59:59.999999999+00:00,2,0.0,1.0
2025-11-07 23:59:59.999999999+00:00,3,0.0,1.0
2025-11-14 23:59:59.999999999+00:00,3,1.0,1.0
2025-11-21 23:59:59.999999999+00:00,3,1.0,1.0
2025-11-28 23:59:59.999999999+00:00,2,1.0,0.0
2025-12-05 23:59:59.999999999+00:00,2,1.0,2.0
2025-12-12 23:59:59.999999999+00:00,1,1.0,1.0
2025-12-19 23:59:59.999999999+00:00,3,2.0,1.0
2025-12-26 23:59:59.999999999+00:00,3,0.0,0.0
